Nasdaq Traded|Symbol|Security Name|Listing Exchange|Market Category|ETF|Round Lot Size|Test Issue|Financial Status|CQS Symbol|NASDAQ Symbol|NextShares
Y|A|Agilent Technologies, Inc. Common Stock|N| |N|100|N||A|A|N
Y|AA|Alcoa Corporation Common Stock |N| |N|100|N||AA|AA|N
Y|AAAP|Advanced Accelerator Applications S.A. - American Depositary Shares|Q|Q|N|100|N|N||AAAP|N
Y|AAC|AAC Holdings, Inc. Common Stock|N| |N|100|N||AAC|AAC|N
Y|AADR|AdvisorShares Dorsey Wright ADR ETF|P| |Y|100|N||AADR|AADR|N
Y|AAL|American Airlines Group, Inc. - Common Stock|Q|Q|N|100|N|N||AAL|N
Y|AAMC|Altisource Asset Management Corp Com|A| |N|100|N||AAMC|AAMC|N
Y|AAME|Atlantic American Corporation - Common Stock|Q|G|N|100|N|N||AAME|N
Y|AAN|Aaron's, Inc. Common Stock|N| |N|100|N||AAN|AAN|N
Y|AAOI|Applied Optoelectronics, Inc. - Common Stock|Q|G|N|100|N|N||AAOI|N
Y|AAON|AAON, Inc. - Common Stock|Q|Q|N|100|N|N||AAON|N
Y|AAP|Advance Auto Parts Inc Advance Auto Parts Inc W/I|N| |N|100|N||AAP|AAP|N
Y|AAPC|Atlantic Alliance Partnership Corp. - Ordinary Shares|Q|S|N|100|N|D||AAPC|N
Y|AAPL|Apple Inc. - Common Stock|Q|Q|N|100|N|N||AAPL|N
Y|AAT|American Assets Trust, Inc. Common Stock|N| |N|100|N||AAT|AAT|N
Y|AAU|Almaden Minerals, Ltd. Common Shares|A| |N|100|N||AAU|AAU|N
Y|AAV|Advantage Oil & Gas Ltd  Ordinary Shares|N| |N|100|N||AAV|AAV|N
Y|AAWW|Atlas Air Worldwide Holdings - Common Stock|Q|Q|N|100|N|N||AAWW|N
Y|AAXJ|iShares MSCI All Country Asia ex Japan Index Fund|Q|G|Y|100|N|N||AAXJ|N
Y|AAXN|Axon Enterprise, Inc. - Common Stock|Q|Q|N|100|N|N||AAXN|N
Y|AB|AllianceBernstein Holding L.P.  Units|N| |N|100|N||AB|AB|N
Y|ABAC|Aoxin Tianli Group, Inc. - Common Shares|Q|S|N|100|N|N||ABAC|N
Y|ABAX|ABAXIS, Inc. - Common Stock|Q|Q|N|100|N|N||ABAX|N
